127.0.0.1 - - [19/Aug/2017:21:00:37 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:00:40 +0530] "GET /ManuringIt/ HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:00:40 +0530] "GET /ManuringIt/css/style.css HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:00:40 +0530] "GET /ManuringIt/css/images/background.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:00:50 +0530] "GET /ManuringIt/ HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:00:50 +0530] "GET /ManuringIt/css/style.css HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:00:50 +0530] "GET /ManuringIt/css/images/background.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:00:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:25 +0530] "POST /ManuringIt/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:25 +0530] "GET /ManuringIt/landingPage.jsp HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:25 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:25 +0530] "GET /ManuringIt/css/floatinglable.css HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:25 +0530] "GET /ManuringIt/css/header_menu.css HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:26 +0530] "GET /ManuringIt/images/header.png HTTP/1.1" 200 428567
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:26 +0530] "GET /ManuringIt/images/background.jpg HTTP/1.1" 200 1186162
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:28 +0530] "GET /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:28 +0530] "GET /ManuringIt/css/tabs.css HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:28 +0530] "GET /ManuringIt/css/table.css HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:15:29 +0530] "GET /ManuringIt/Harvesting HTTP/1.1" 200 4411
